ecosystem,term,estimate,std.error,statistic,p.value
Long,min_elapsed,12.835975084634713,1.2895587190063722,9.95377325239215,0.002157487514614029
NoSource,min_elapsed,-5.146552384688684,2.5437891312821086,-2.0231835734335193,0.13623682009848703
Short,min_elapsed,20.483967961990363,2.8098697288183976,7.290006277481146,0.005328724288344078
